rank,rawChinese,rawPinyin,english,englishMeaning,chineseMeaning,chineseExample
0,什么,shén me,what,interrogative pronoun,疑问代词。（１）表示疑问。ａ）单用，问事物：这是～？｜你找～？｜他说～？｜～叫押韵？ｂ）用在名词前面，问人或事物：～人？｜～事儿？｜～颜色？｜～地方？（２）虚指，表示不肯定的事物：他们仿佛在谈论～｜我饿了，想吃点儿～。（３）任指。ａ）用在‘也’或‘都’前面，表示所说的范围之内没有例外：他～也不怕｜只要认真学，～都能学会。ｂ）两个‘什么’前后照应，表示由前者决定后者：想～说～｜～场合说～话。（４）表示惊讶或不满：～！九点了，车还没有开！｜这是～鞋！一只大一只小的！（５）表示责难：你笑～？（不应该笑）｜你说呀！装～哑巴？（不必装哑巴）（６）表示不同意对方说的某一句话：～晒一天？晒三天也晒不干。（７）用在几个并列成分前面，表示列举不尽：～送个信儿啊，跑个腿儿啊，他都干得了。<br>,1、<b>什么</b>时候打破规则 <br />   2、 那么问题到底是<b>什么</b>呢？ <br />   3、 永久的中间用户需要<b>什么</b> <br />   4、 “那，有<b>什么</b>？”<br />
1,没有,méi yǒu,not,negates meaning of verb,１＜轻＞（１）表示‘领有、具有’等的否定：～票｜～理由。（２）表示存在的否定：屋里～人。（３）用在‘谁、哪个’等前面，表示‘全都不’：～谁会同意这样做｜～哪个说过这样的话。（４）不如；不及：你～他高｜谁都～他会说话。（５）不够；不到：来了～三天就走了。<br>,1、<b>没有</b>人愿意停留在新手级别。 <br />   2、 <b>没有</b>人希望自己使用的机器责备它。 <br />   3、 “<b>没有</b>。” <br />   4、 你无辜地回答：“<b>没有</b>。”<br />
2,自己,zì jǐ,oneself,"The person, previously mentioned",（１）代词，复指前头的名词或代词（多强调不由于外力）：改造～｜鞋我～去买吧｜瓶子不会～倒下来，准是有人碰了它。（２）亲近的；关系密切的：～人｜～弟兄。<br>,1、没有人希望<b>自己</b>使用的机器责备它。 <br />   2、 她查看<b>自己</b>的约会记录，看看哪个时段<b>自己</b>还没有安排。 <br />   3、 这时，他们会感觉<b>自己</b>在直接操纵交互和数据。 <br />   4、 （与猜测正好相反，极少有人能够清楚地表述<b>自己</b>的需要。<br />
3,知道,zhī dào,know,be certain or sure about (something),＜轻＞对于事实或道理有认识：他～的事情很多｜你的意思我～。<br>,1、他们<b>知道</b>信息是不完整的，有时还是错误的，甚至<b>知道</b>有时需要加速处理数据以便让顾客高兴。 <br />   2、 体贴的软件<b>知道</b>什么时候调整规则 <br />   3、 “用户需要<b>知道</b>他们犯了错误”这一假设也是不对的，<b>知道</b>请求了无效的字体大小会有多重要？ <br />   4、 我们是怎么<b>知道</b>的呢？<br />
4,起来,qǐ lái,arise,"start to exist, originate",１＜轻＞（１）由躺而坐，由坐而站：你～，让老太太坐下。（２）起床：刚～就忙着下地干活儿。（３）泛指兴起、奋起、升起等：群众～了｜飞机～了。<br>,1、交互设计者必须要将实现模型隐藏<b>起来</b>，不能让用户看到。 <br />   2、 将功能需求转换到功能元素，我们的设计开始变得清晰具体<b>起来</b>。 <br />   3、 然而，虽然使用这些控件能够确保软件实现<b>起来</b>很容易，但无法确保使用<b>起来</b>也会很容易。 <br />   4、 将对象与视觉符号关联<b>起来</b><br />
5,时候,shí hou,time,numerical indication of a particular moment in time,＜口＞（～儿）年纪小的时候：这是他～的相片。<br>,1、什么<b>时候</b>打破规则 <br />   2、 体贴的软件知道什么<b>时候</b>调整规则 <br />   3、 如果你在没有理解“是什么”的<b>时候</b>，就直接进入了“怎样？” 你会假设这个工具的输出是报告。 <br />   4、 为什么它不问你是什么<b>时候</b>做的这些修改？<br />
6,这样,zhè yàng,so,in a particular manner,（～儿）指示代词，指示性质、状态、方式、程度等：他就是～一个大公无私的人｜他的认识和态度就是～转变的｜工人阶级要担负～重大的责任｜～，就可以引起同学们爬山的兴趣。也说这么样。注意：‘这（么）样’可以用做定语或状语，也可以用做补语或谓语。‘这么’只能用做定语或状语。<br>,1、当然了，<b>这样</b>还是可能会被滥用。 <br />   2、 <b>这样</b>可以节省很多空间，并且易于阅读。 <br />   3、 没有理由让用户忍受<b>这样</b>的对话框。 <br />   4、 图10-2 程序员习惯看到<b>这样</b>的消息，并不意味着其他行业的人们也希望<b>这样</b>。<br />
7,怎么,zěn me,how,in what manner,疑问代词。（１）询问性质、状况、方式、原因等：这是～回事？｜这个问题该～解决？｜他～还不回来？（２）泛指性质、状况或方式：你愿意～办就～办。（３）有一定程度（用于否定式）：这出戏他刚学，还不～会唱（＝不大会唱）。<br>,1、你难道听不见程序员在喊：“<b>怎么</b>能改变已经成为标准的事物呢？ <br />   2、 看你<b>怎么</b>认为，如考虑到用户能够在任意选择的位置执行不连续的撤销，这样相当方便。 <br />   3、 无论是什么样的情况，这都是正常的行为，而不是错误，你也没有必要在计算机每次遭遇这种情况时都必须告诉它应该<b>怎么</b>做。 <br />   4、 这些人在<b>怎么</b>想呢？<br />
8,已经,yǐ jing,already,prior to some time,＜轻＞副词，表示事情完成或时间过去：天～黑了，他们还没有收工。<br>,1、这个例子在本书的1995年第1版中<b>已经</b>提到过，希望当前的状况<b>已经</b>有所好转。 <br />   2、 下拉菜单可以让他重新发现自己<b>已经</b>忘记名字的功能。 <br />   3、 同时，程序还自鸣得意地告诉用户打印<b>已经</b>取消。 <br />   4、 大部分邮件程序在这方面做的很好，未读邮件，<b>已经</b>回复和<b>已经</b>转发的邮件有明显的状态区别。<br />
9,现在,xiànzài,now,At present; at this time.,这个时候，指说话的时候，有时包括说话前后或长或短的一段时间（区别于‘过去’或‘将来’）：他～的情况怎么样？｜～劳动人民是国家的主人。<br>,1、<b>现在</b>我们准备开始设计。 <br />   2、 <b>现在</b>我们准备开始勾画出大致的界面，最初阶段，界面的视觉化工作应该极其简单。 <br />   3、 <b>现在</b>，程序的显示区完全处于这种工具的模态中。 <br />   4、 用户执行每次操作后，系统都应该提示<b>现在</b>可以执行的功能，以及如何调用这些功能。<br />
10,可以,kěyǐ,OK,"all right, permitted",１（１）表示可能或能够：不会的事情，用心去学，是～学会的｜这片麦子～割了。（２）表示许可：你～走了。参看‘能’条注意：ｄ、ｅ两项。<br>,1、是否<b>可以</b>采用工具提示呢？ <br />   2、 当然，程序在后面<b>可以</b>删除它，但用户仍<b>可以</b>输入。 <br />   3、 <b>可以</b>用图形条目取代吗？ <br />   4、 通常<b>可以</b>从记录中的其他数据中重构出来，即使不<b>可以</b>，我们还是<b>可以</b>通过询问涉及交易的不同方面来重构。<br />
11,女人,nǚ rén,woman,adult female human being,１女性的成年人。<br>,1、那个<b>女人</b>简直不可理喻. <br />   2、 <b>女人</b>不大吹嘘她们的勇气。 <br />   3、 落入<b>女人</b>的陷阱((受<b>女人</b>引诱)) <br />   4、 他用一块木头雕了一个<b>女人</b>像。<br />
12,觉得,jué de,feel,transitive: to think or believe,（１）发生某种感觉：虽然工作到深夜，但一点也不～疲倦。（２）认为（语气较不肯定）：我～应该先跟他商量一下。<br>,1、的确，由于害怕显得愚蠢、无能，以及缺乏礼貌，许多人不会谈论他们<b>觉得</b>有问题或者难以理解的软件行为。 <br />   2、 对于适应一种熟悉系统更新并更有用的表现方式来说，人们并不会<b>觉得</b>有多困难。 <br />   3、 但软件告诉你失败会让人<b>觉得</b>没有面子，计算机内部发生的任何事情都没有重要到可以羞辱和贬低人类用户的地步，而我们人类只是出于习惯采取负面反馈。 <br />   4、 设计一件让用户<b>觉得</b>好使的产品相对简单，产品对于别人的影响有时却难以计算。<br />
13,因为,yīn wèi,because,[indicates that a reason or cause follows].,＜轻＞连词，表示原因或理由：～今天进城要办的事情多，天刚亮他就出门了。<br>,1、<b>因为</b>实际的问题隐藏在后面，所以产生了困惑。 <br />   2、 <b>因为</b>计算机不需要，但是人类有轻微调整系统的强烈需求。 <br />   3、 和科学怪人一样，他们之所以失败，是<b>因为</b>没有在作品中注入人性。 <br />   4、 体贴的软件不会<b>因为</b>自己的问题而增加你的负担<br />
14,孩子,hái zi,child,"a female or male child, a daughter or son",（１）儿童：小～｜男～。（２）子女：她有两个～。<br>,1、一群<b>孩子</b>正在操场上做游戏。 <br />   2、 她千方百计寻找丢失的<b>孩子</b>。 <br />   3、 正发育的<b>孩子</b>必须睡眠充足. <br />   4、 母亲不应偏爱某一个<b>孩子</b>。<br />
15,眼睛,yǎn jing,eye,"The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals see.",＜轻＞眼的通称。<br>,1、把一只<b>眼睛</b>闭上，眯着另一只<b>眼睛</b>模模糊糊地看屏幕，这样便可以看出来哪些元素突出、哪些元素模糊，以及哪些元素看起来是一组的等。 <br />   2、 罗伯特·乔丹看到他<b>眼睛</b>象猫<b>眼睛</b>那样黄，象爬虫的<b>眼睛</b>那样呆滞。 <br />   3、 他们的<b>眼睛</b>注视着自己的工作，身体语言是专注和一心一意的；当人们没有专注时，他看上去是松散的样子，其姿态是开放和移动的，他们的<b>眼睛</b>在提问并且希望进行视线的交流。 <br />   4、 如果检索系统能够睁大<b>眼睛</b>竖起耳朵，就可以知道许多有关文档的信息。<br />
16,东西,dōng xī,thing,"that which is considered to exist as a separate entity, object, quality or concept",１（１）东边和西边。（２）从东到西（距离）：这个城～三里，南北五里。<br>,1、，“哪个<b>东西</b>不属于其他的<b>东西</b>？” <br />   2、 <b>东西</b>不管是凉的，还是热的，只要是令人满意的，我们都可以说“酷”。 <br />   3、 这些<b>东西</b>很快就变得倒胃口，令人心神不宁。 <br />   4、 为本能反应设计，是指设计那些感官最初感觉到，并且尚未发生对产品进一步活动之前的<b>东西</b>。<br />
17,先生,xiān sheng,mister,title of adult male,＜轻＞（１）老师。（２）对知识分子的称呼。（３）旧时称别人的丈夫或对人称自己的丈夫（都带人称代词做定语）：她～出差去了｜等我们～回来，我让他马上去找您。（４）＜方＞医生。（５）旧时称管帐的人：在商号当～。（６）旧时称以说书、相面、算卦、看风水等为职业的人：算命～。<br>,"1、“我无意讨价还价，”布朗<b>先生</b>说。 <br />   2、 格林<b>先生</b>，史密斯<b>先生</b>在这里。 <br />   3、 <b>先生</b>， 我刚刚与Carlson<b>先生</b>通了话。 <br />   4、 史密斯<b>先生</b>提议向演说者鼓掌致谢,格林<b>先生</b>附议之。<br />"
18,看见,kàn jiàn,see,"To perceive [images] with the eye, without necessarily paying attention to them.",＜轻＞看到；看得见｜看不见。<br>,1、我们知道这类按钮可以按，是因为<b>看见</b>过周围类似的电子设备，或者因为多年前与父母一起站在门阶上学会了如何进入他人家门。 <br />   2、 如果我们为列表控件的每个项添加一个复选框，用户不仅清楚地<b>看见</b>哪些项已经选择，哪些项没有选择，而且可以清晰地<b>看见</b>项目之间没有相互排斥，这样就一举两得了。 <br />   3、 这意味着在仍可以<b>看见</b>非模态对话框的情况下，你可以改变选择。 <br />   4、 职员不能将一个文档移到队列顶部，除非队列、文档，以及文档在队列中的位置都能明显<b>看见</b>。<br />
19,父亲,fù qīn,father,male parent,＜轻＞有子女的男子是子女的父亲。<br>,1、他知道跟他<b>父亲</b>争论是没用的。 <br />   2、 <b>父亲</b>，你尽管生气．我还是爱你，敬重你。 <br />   3、 他<b>父亲</b>去世时他不得不继承他<b>父亲</b>的事业。 <br />   4、 <b>父亲</b>对你们的计划不予支持。<br />
20,地方,dì fāng,place,"location, position",１（１）各级行政区划的统称（跟‘中央’相对）：中央工业和～工业同时并举。（２）本地；当地：他在农村的时候，常给～上的群众讲红军长征的故事。<br>,1、信息项是否都在顾客可能找到的<b>地方</b>？ <br />   2、 遵循情境调查的首要原则，进行访谈的<b>地方</b>位于用户实际使用产品的<b>地方</b>非常重要。 <br />   3、 但是在用户交互方面，二者之间类似的<b>地方</b>很少。 <br />   4、 在有输出的<b>地方</b>允许输入。<br />
21,生活,shēng huó,life,the essence of the manifestation and the foundation of the being,（１）人或生物为了生存和发展而进行的各种活动：政治～｜日常～｜观察蜜蜂和蚂蚁的～。（２）进行各种活动：跟群众～在一起。（３）生存：一个人脱离了社会就不能～下去。（４）衣、食、住、行等方面的情况：解放后人民的～不断提高。（５）＜方＞活儿（主要指工业、农业、手工业方面的）：做～｜～忙。<br>,1、在我们生长的<b>生活</b>环境中，颜色也具有一些含义。 <br />   2、 修改并再修改，这是设计<b>生活</b>中的现实。 <br />   3、 在人类学中，人种学研究人员在其所研究和记录的文化中花数年的时间进行浸入式的<b>生活</b>。 <br />   4、 大多数人物角色通常可以没有人生目标或者只有一个<b>生活</b>目标，这是正常的。<br />
22,母亲,mǔ qīn,mother,A woman who has at least one child.,＜轻＞有子女的女子，是子女的母亲◇祖国，我的～！<br>,1、你和你的<b>母亲</b>这时碰壁了，她看着你问道：“这是什么意思？ <br />   2、 他请假去探望住院的<b>母亲</b>。 <br />   3、 你的<b>母亲</b>会这么想：“如果不想要这些改变，为什么要关闭一个包含它们的文档呢？” <br />   4、 尽管大部分人都不清楚内存和磁盘存储之间的区别，但是很遗憾，我们历来设计的软件都在强迫使用者——也包括你的<b>母亲</b>——必须了解这个区别，还必须要按照计算机内部构造原理的思路来思考他们的文件。<br />
23,一切,yī qiè,all,everything possible,（１）全部的：调动～积极因素。（２）全部的事物：人民的利益高于～。<br>,1、这种<b>一切</b>正常的感觉是来自内心，而不是大脑。 用户，甚至是专家用户也会安心。 <br />   2、 很多可用性专家利用技术辅助手段，诸如视频和音频记录器来获取用户谈到的和所做的<b>一切</b>。 <br />   3、 <b>一切</b>都各就其位：通过位置存储和检索 <br />   4、 菜单最大的优点在于其完备性和详细说明，用户所需的<b>一切</b>都可以在程序菜单中找到。<br />
24,男人,nán rén,man,adult male human,１男性的成年人。<br>,
25,工作,gōng zuò,work,To do a specific task by employing physical or mental powers.,（１）从事体力或脑力劳动，也泛指机器、工具受人操纵而发挥生产作用：积极～｜开始～｜铲土机正在～。（２）职业：在资本主义国家，经常成千上万的人找不到～。（３）业务；任务：～量｜宣传～｜工会～｜科学研究～。<br>,1、命令途径和<b>工作</b>集 <br />   2、 附加<b>工作</b>和专家用户 <br />   3、 导航是一种附加<b>工作</b> <br />   4、 消除附加<b>工作</b><br />
26,声音,shēng yīn,sound,sensation perceived by the ear,由物体振动而发生的波通过听觉所产生的印象：～强◇党中央的～传遍全国。<br>,1、每次你按下键盘，你都可以听到微弱，但是正面的<b>声音</b>。 <br />   2、 我们的软件工具通常是沉默的，我们能听到的只有静静敲击键盘的<b>声音</b>。 <br />   3、 不过，这里也要小心处理<b>声音</b>的大小，要确保反馈<b>声音</b>的音量不能太大或者产生干扰。 <br />   4、 没有<b>声音</b>或视觉上没有变化，是表示这种结果的好方式。<br />
27,今天,jīn tiān,today,today ( <i>noun</i> ),（１）说话时的这一天。（２）现在；目前：～的中国已经不是解放前的中国了。<br>,1、尽管书中的例子有些古老，但是其中原则在<b>今天</b>仍然非常适用。 <br />   2、 尽管这种界面范例在那时称为“基于菜单”，而我们称这些菜单为“顺序层次关系菜单”，与<b>今天</b>流行的菜单区分开。 <br />   3、 前面的场景剧本中的一些交互看起来有点像魔术一样，但在<b>今天</b>的技术条件下都是可能的。 <br />   4、 <b>今天</b>的菜单：学习的途径<br />
28,开始,kāi shǐ,begin,"To start, to initiate or take the first step into something.",（１）从头起；从某一点起：新的一年～了｜今天从第五课～。（２）着手进行：～一项新的工作｜提纲已经定了，明天就可以～写。（３）开始的阶段：一种新的工作，～总会遇到一些困难。<br>,1、从这时<b>开始</b>，你就要用他或者她的名字来描述人物角色。 <br />   2、 现在我们准备<b>开始</b>设计。 <br />   3、 当你<b>开始</b>展开叙述时，选择你人物角色的照片。 <br />   4、 正如我们以前讨论过的，这就是设计<b>开始</b>的地方。<br />
29,时间,shí jiān,time,inevitable passing of events,（１）物质存在的一种客观形式，由过去、现在、将来构成的连绵不断的系统。是物质的运动、变化的持续性的表现。（２）有起点和终点的一段时间：地球自转一周的～是二十四小时｜盖这么所房子要多少～？（３）时间里的某一点：现在的～是三点十五分。<br>,1、在相邻空间上显示事物，而不是按<b>时间</b>堆积 <br />   2、 优化响应能力，调节延迟<b>时间</b>。 <br />   3、 自动滚屏需要的另一个重要细节是<b>时间</b>延迟。 <br />   4、 人们在使用独占应用时，由于通常都会花费不少<b>时间</b>和精力，因此人们都有既定的兴趣要把自己发展成为中间用户，正如我们在第3章中讨论的那样。 每个用户都会从初级用户开始花些<b>时间</b>，不过这些<b>时间</b>相对于使用产品的全部<b>时间</b>来说是较短的。<br />
30,如果,rú guǒ,if,[The introduction of a condition or decision.],连词，表示假设：你～有困难，我可以帮助你。<br>,1、但<b>如果</b>你想使用名的第1个字母来查找姓名呢？ <br />   2、 <b>如果</b>值得用户输入，就值得程序记住。 <br />   3、 <b>如果</b>有的话，模式的运用要明智 <br />   4、 <b>如果</b>专家说：“这个产品不好”，可能意指“这个产品对于专家来说不好”。<br />
31,中国,zhōnɡ ɡuó,China,Region corresponding to the People&#39;s Republic of China and Taiwan,"①古时“中国”含义不一。或指京师为“中国”。《诗·大雅·民劳》：“惠此中国，以绥四方。”毛传：“中国，京师也”。《史记·五帝本纪》：“夫而后中国，践天子位焉。” 裴驷集解：“刘熙曰：‘帝王所都为中，故曰中国。”或指华夏族，汉族地区为中国（以其在四夷之中）。《诗·小雅·六月序》：“《小雅》尽废，则四夷交侵，中国微矣。”又《礼记·中庸》：“是以声名洋溢乎中国，施及蛮貊。”而华夏族，汉族多建都于黄河南，北，因称其地为“中国”，与“中土”，“中原”，“中州”，“中夏”，“中华”含义相同。初时本指河南省极其附近地区，后来华夏族，汉族活动范围扩大，黄河中下游一带，也被称为“中国”。《晋书·宣帝纪》：“孟达于是连吴固蜀，潜图中国。”（“中国”指立国于黄河中下游的魏国），甚至把所统辖的地区，包括不属于黄河流域的地方， 也全部称为“中国”。《史书·天官书》：“其后秦遂以兵灭六国，并中国。”19世纪中叶以来，“中国”始专指我国家全部领土，不作他用。 );
②“中华人民共和国”的简称。 );
③中国（Madhya-desa）。古地名。即恒河中下游一带的中印度，佛教徒译称“中国”。见《法显传》。<br>",1、英国和<b>中国</b>签署了贸易协定. <br />   2、 北京是一个典型的<b>中国</b>城市。 <br />   3、 对<b>中国</b>主权的侵害 [侵犯] 行为 <br />   4、 一幅古代<b>中国</b>画卷<br />
32,以后,yǐ hòu,after,subsequently; following in time; later than,现在或所说某的之后的时期：从今～｜五年～｜～，我们还要研究这个问题。<br>,1、爬上来<b>以后</b>，计算机专业人员已经忘记了山的高度。 但每天新手用户面对计算机世界的珠穆朗玛峰，会深感挫折。 <br />   2、 当你的一个朋友严重失礼时，他会试图<b>以后</b>弥补，挽回可以挽回的损失。 <br />   3、 然而稳定使用几个月<b>以后</b>，新手用户会开始发现它们，思考其含义并且试探性地使用。 <br />   4、 通常这种会议会以视频或者音频形式记录下来，供<b>以后</b>查阅。<br />
33,事情,shì qing,matter,situation,＜轻＞人类生活中的一切活动和所遇到的一切社会现象。<br>,1、你不会因为害怕被车撞而躲在家里，所以在界面上也不要让可能发生的<b>事情</b>影响你对必然要发生的<b>事情</b>的处理。 <br />   2、 要干这些<b>事情</b>，可能需要3个遥控器，或者在一个万能遥控器上按6次以上的按钮。 <br />   3、 如果某种设备让用户更加有效地做好几件<b>事情</b>，则用户会感觉比那些试图处理很多不相关<b>事情</b>的设备要好得多。 <br />   4、 正如爱因斯坦认为的那样，<b>事情</b>要尽可能地简单，而不是简单一些。<br />
34,所以,suǒ yǐ,therefore,consequently; by consequence,（１）表示因果关系的连词。ａ）用在下半句表示结果：我和他在一起工作过，～对他比较熟悉。ｂ）用在上半句主语和谓语之间，提出需要说明原因的事情，下半句说明原因：我～对他比较熟悉，是因为我和他在一起工作过。ｃ）上半句先说明原因，下半句用‘是…所以…的原因（缘故）’：我和他在一起工作过，这就是我～对他比较熟悉的原因。ｄ）＜口＞‘所以’单独成句，表示‘原因就在这里’：～呀，要不然我怎么这么说呢！（２）实在的情由或适宜的举动（限用于固定词组中做宾语）：忘其～｜不知～。<br>,1、因为实际的问题隐藏在后面，<b>所以</b>产生了困惑。 <br />   2、 因为易于操作，<b>所以</b>单次撤销非常有效。 <br />   3、 但是程序却没有提供该选项，<b>所以</b>显示了文字提示。 <br />   4、 因为历史版本涉及整个文档，<b>所以</b>它通常直接通过文件系统来实现。<br />
35,突然,tū rán,suddenly,happening quickly and with little or no warning,在短促的时间里发生，出乎意外：他来得很～｜连长～接到了开拔的命令。<br>,1、当然，也一定存在着十分紧急的情况，需要以一种<b>突然</b>且吸引注意力的方式来通知使用者。 <br />   2、 出于习惯，高层次的立即菜单项总是<b>突然</b>“咣当”出来要求执行。 <br />   3、 这个时间也足够一个使用者单击并选取该对象，而不会触发工具提示，从而这保证了使用者鼠标经过工具栏进行操作时不会被<b>突然</b>弹出的工具提示所骚扰。 <br />   4、 但是，如果某次修改字节的数量<b>突然</b>激增到5 000，程序可以认为出了某种错误。<br />
36,为什,wéi shí,,,"1.见""为甚""。<br>",1、他们<b>为</b><b>什</b>麽不选择他我觉得是个谜. <br />   2、 <b>为</b><b>什</b>麽允许这些人随意进入该地? <br />   3、 你<b>为</b><b>什</b>麽情绪这麽低落? 振作起来吧! <br />   4、 你们<b>为</b><b>什</b>麽都突然冲我来了（批评或责备我）?<br />
