rank,rawChinese,rawPinyin,english,englishMeaning,chineseMeaning,chineseExample
166,结果,jiē guǒ,result,that which results,１在一定阶段，事物发展所达到的最后状态：优良的学习成绩，是长期刻苦学习的～。<br>,1、如果说<b>结果</b>，那就是产品会更加容易理解，并且使用起来更愉悦。 <br />   2、 理想情况下，人物角色应该包含绝大部分的用户研究中的调查<b>结果</b>，并且这些研究<b>结果</b>就可以直接用于接下来的设计工作中（你会在后面几章中了解到）。 <br />   3、 映射描述了控件、影响的事物，以及与预期<b>结果</b>之间的关系。 <br />   4、 在信息图形中，要阐明原因与<b>结果</b>。<br />
167,父母,fù mǔ,parents,father and mother,父亲和母亲。<br>,1、<b>父母</b>必须对他的孩子有耐心。 <br />   2、 我们知道这类按钮可以按，是因为看见过周围类似的电子设备，或者因为多年前与<b>父母</b>一起站在门阶上学会了如何进入他人家门。 <br />   3、 在家靠<b>父母</b>，出门靠朋友。 <br />   4、 她<b>父母</b>省吃俭用好让她出国学习声乐.<br />
168,公室,ɡōnɡ shì,office,office room,我国古代诸侯的家族称‘公室’。‘公室’上与‘王室’相对，下与‘私门’相对。<br>,1、当 你 感 到 足 够 放 心 ， 可 以 和 网 友 电 话 聊 天 时 ， 给 他 (她 )一 个 办 <b>公</b> <b>室</b> 电 话 、 手 机 或 呼 机 号 码，不 要 告 诉 对 方 自 己 的 住 宅 电 话 号 码 或 索 要 对 方 的 宅 电 。 <br />   2、 使用范围广泛：适用于家庭、<b>公</b><b>室</b>、滩、外生活等。 <br />   3、 她 说 ， 在 办 <b>公</b> <b>室</b> 里 你 可 以 威 严 苛 求 地 成 为 战 斗 女 神 ， 但 这 种 风 格 只 宜 留 在 办 <b>公</b> <b>室</b> ， 到 了 家 里 你 就 要 像 对 待 朋 友 和 成 年 人 那 样 对 待 你 的 丈 夫 。 <br />   4、 <b>公</b>司在董事会的直接领导下设有：总经理办、金部、财部、目拓展部、林绿化工程处、力资源部、<b>公</b><b>室</b>等部门。<br />
169,无论,wú lùn,no matter,regardless of,连词，表示条件不同而结果不变：～任务怎么艰巨，我们一定要把它完成。<br>,1、<b>无论</b>采用哪种方式，你都必须要坚持一致。 <br />   2、 这意味着<b>无论</b>你提供什么样的帮助，它都不应该在界面中固定下来。 <br />   3、 这种数字汤能够接收我们向它导入的任何记录，<b>无论</b>大小、长短、类型或者内容。 <br />   4、 <b>无论</b>拖放的目标对象是否在屏幕之外，程序都需要自动滚动。<br />
170,感情,gǎn qíng,emotion,person&#39;s internal state of being,（１）对外界刺激的比较强烈的心理反应：动～｜～流露。（２）对人或事物关切、喜爱的心情：他对农村产生了深厚的～。<br>,1、控制（掩饰）<b>感情</b> <br />   2、 <b>感情</b>细腻的女子 <br />   3、 我的<b>感情</b>与你的<b>感情</b>是一致的。 <br />   4、 对受伤害之<b>感情</b>的一种安慰<br />
171,思想,sī xiǎng,thought,form created in the mind,（１）客观存在反映在人的意识中经过思维活动而产生的结果。思想的内容为社会制度的性质和人们的物质生活条件所决定，在阶级社会中，思想具有明显的阶级性。（２）念头；想法：她早有去农村参加农业生产的～。（３）思量。<br>,1、最后，人物角色和场景剧本被用来在整个过程中测试设计<b>思想</b>和设计猜想的有效性。 <br />   2、 在下一章中，我们将会更多地讨论如何增加用户的效率和减少不必要的来自于实现模型<b>思想</b>中的阻碍。 <br />   3、 精心设计并运用得当的进展式评估可以开启一扇了解用户<b>思想</b>的窗户，让设计者看到目标用户群对于帮助他们完成任务的这些工具和信息的反应如何。 <br />   4、 所以它不能替代交互设计，永远也不可能是产生人见人爱产品的伟大<b>思想</b>的源泉。<br />
172,旁边,páng biān,beside,next to,（～儿）左右两边；靠近的地方：马路～停着许多小汽车。<br>,1、我<b>旁边</b>的那个人抽烟，我受不了。 <br />   2、 使用者可以从中选择所需，选定的图标按钮就出现在工具栏的箭头<b>旁边</b>。 <br />   3、 一堆脏衣服放在洗衣机<b>旁边</b>。 <br />   4、 基思并不认识他<b>旁边</b>的那个实习生。<br />
173,敌人,dí rén,enemy,"someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else",敌对的人；敌对的方面。<br>,1、同时，他在这儿会碰到<b>敌人</b>的。 <br />   2、 这些死板的规则使得软件成为人类的<b>敌人</b>，因为人类不能采取规避措施来防止更大的错误，很快就不会关心对软件的保护措施，也就不能避免真正的大问题。 <br />   3、 怎样才能抵销<b>敌人</b>的宣传? <br />   4、 基督倡导宽恕（应宽恕<b>敌人</b>等）.<br />
174,真正,zhēn zhèng,genuine,"real, authentic",（１）实质跟名义完全相符：群众是～的英雄｜～的吉林人参。（２）的的确确；确实。<br>,1、危险项目是那些只有<b>真正</b>的专家用户才使用的功能，包括各种高级设置。 <br />   2、 我们凭直觉理解隐喻，但直觉<b>真正</b>的意思是什么？ <br />   3、 <b>真正</b>的混乱来自于第2组终止按钮的出现，每个取消按钮的范围是什么？ <br />   4、 当然，在屏幕上的元素没有<b>真正</b>的纹理，不过它们可以具有纹理的外表。<br />
175,土司,tǔ sī,toast,toasted bread,元明清时期，在西南、西北地区设置的由少数民族首领充任并世袭的官职。有文职和武职之分。按等级以土知府、土知州、土知县等官隶吏部，以宣慰使、宣抚使、安抚使等官隶兵部。明清时，曾在部分地区实行改土归流，废除世袭土司。解放后土司制度已被彻底废除。<br>,1、<b>土司</b>、玩具和书的总花销是十美元。 <br />   2、 他设法吞下一点汤和不涂奶油的<b>土司</b>。 <br />   3、 最好是<b>土司</b>与牛奶。 <br />   4、 我有果汁、麦片、<b>土司</b>和咖啡当早餐。<br />
176,微笑,wēi xiào,smile,An upwards movement of the sides of the mouth that indicates happiness or satisfaction.,（１）略带笑容。（２）不显著的、不出声的笑。<br>,1、善意的行动得到幸福的<b>微笑</b>。 <br />   2、 暮色中我看见了她在<b>微笑</b>，那种不可捉摸的女人的<b>微笑</b>。 <br />   3、 他那张宽大的脸上堆满<b>微笑</b>。 <br />   4、 她的脸上闪耀着胜利的<b>微笑</b>。<br />
177,经理,jīng lǐ,manager,"person whose job is to manage something (for female equivalents, see manageress)",（１）经营管理。（２）某些企业的负责人。<br>,"1、小姐，你好。我想找<b>经理</b>谈一下。 <br />   2、 产品的用户应该是设计的主要关注点，他们是那些亲自使用产品来达到某些目标的人（而不是他们的<b>经理</b>或者产品支持团队）。 <br />   3、 他再度出山, 任该公司<b>经理</b>。 <br />   4、 因此每一个设计者和产品<b>经理</b>都值得关注各种形式的交互附加工作，并且值得花费精力找到那些存在于所设计产品中的附加工作。<br />"
178,如今,rú jīn,now,at the present time,现在：～的事情，再用老眼光看可不行了。注意：‘现在’可以指较长的一段时间，也可以指极短的时间，‘如今’只能指较长的一段时间。<br>,"1、<b>如今</b>呢, 可比以往任何时候都要强。 <br />   2、 <b>如今</b>我行走离不开手杖了。 <br />   3、 他<b>如今</b>无忧无虑。 <br />   4、 “<b>如今</b>到处是废话，泛滥成灾，”那个人愤愤不平地说。<br />"
179,奶奶,nǎi nai,grandmother,mother of someone&#39;s parent,＜轻＞（１）＜口＞祖母。（２）＜口＞称跟祖母辈分相同或年纪相仿的妇女。（３）＜方＞少奶奶。<br>,1、<b>奶奶</b>累了，所以上楼走得很慢。 <br />   2、 这次去的目的是看望<b>奶奶</b>。 <br />   3、 <b>奶奶</b>帮忙洗洗涮涮和照看婴儿。 <br />   4、 亲爱的<b>奶奶</b>，欢迎你回来！<br />
180,下午,xià wǔ,afternoon,part of the day between noon and evening,从正午十二点到半夜十二点的一段时间，一般也指从正午十二点到日落的一段时间。<br>,1、我将在上午工作，<b>下午</b>打网球。 <br />   2、 <b>下午</b>六点左右来。 <br />   3、 <b>下午</b>好，陈先生。非常感谢。 <br />   4、 站岗到<b>下午</b>三点钟<br />
181,漂亮,piào liang,beautiful,possessing charm and attractive,＜轻＞（１）好看；美观：长得～｜衣服～｜节日里，孩子们打扮得漂漂亮亮的。（２）出色：事情办得～｜打了一次～仗｜普通话说得很～。<br>,1、所有的女装晚礼服都很<b>漂亮</b>. <br />   2、 这些设计师能够为界面创造出<b>漂亮</b>而恰当的外表，并将其与公司品牌建立起联系或者形成一种氛围。 <br />   3、 这当然是一件<b>漂亮</b>外套，很<b>漂亮</b>。 <br />   4、 卡罗尔很<b>漂亮</b>，她姐姐也很<b>漂亮</b>。<br />
182,大概,dà gài,probably,in all likelihood,（１）大致的内容或情况：他口里不说，心里却捉摸了个～。（２）不十分精确或不十分详尽：他把情况做了个～的分析｜这件事我记不太清，只有个～的印象。（３）表示有很大的可能性：雪并没有多厚，～在半夜就不下了｜从这里到西山，～有四五十里地。<br>,1、<b>大概</b>是她没有足够的信心吧！ <br />   2、 他确认<b>大概</b>是二十人左右。 <br />   3、 在考虑产品所需的主要屏幕或者状态（以后我们称之为“视图”）时，对于它们的样子，初始的情境场景剧本会给你一个<b>大概</b>的感觉。 <br />   4、 他<b>大概</b>除了星期天不会有空。<br />
183,城市,chéng shì,city,large settlement,人口集中、工商业发达、居民以非农业人口为主的地区，通常是周围地区的政治、经济、文化中心。<br>,1、北京是一个典型的中国<b>城市</b>。 <br />   2、 当你在另一个<b>城市</b>旅行，甚至在你并没有明确要求时，导游就知道你需要一个旅馆房间。 <br />   3、 工业<b>城市</b>往往是很脏的，但是这<b>城市</b>异常清洁。 <br />   4、 我们的<b>城市</b>是个工业<b>城市</b>。<br />
184,难道,nán dào,you don't say,(idiomatic) really? ; no kidding! ; Is that so?,副词，加强反问的语气：河水～会倒流吗？｜他们做得到，～我们就做不到吗？也说难道说。注意：句末可以用‘不成’呼应，如：～他病了不成？｜～就罢了不成！<br>,1、<b>难道</b>你不会感到有点紧张吗？ <br />   2、 我爱你。<b>难道</b>这还不够吗? <br />   3、 <b>难道</b>你没需要申报的东西吗？ <br />   4、 你<b>难道</b>听不见程序员在喊：“怎么能改变已经成为标准的事物呢？<br />
185,要求,yāoqiú,request,(to) ask,（１）提出具体愿望或条件，希望得到满足或实现：～入党｜严格～自己。（２）所提出的具体愿望或条件：满足了他的～｜符合上级的～。<br>,1、在人少的餐馆，我们如果礼貌地<b>要求</b>换另一个座位时，我们希望服务员接受我们的<b>要求</b>。 <br />   2、 任何<b>要求</b>精确对齐的程序必须提供精确滚动的游标工具。 <br />   3、 而且静态暗示<b>要求</b>对象必须足够大，才能容纳得下启示信息。 <br />   4、 这每种产品的<b>要求</b>和约束对于设计意味着什么？<br />
186,脑袋,nǎo dai,noodle,"the brain, the head",＜轻＞＜口＞（１）头（ｔóｕ）①。（２）脑筋。<br>,1、查理睡着，<b>脑袋</b>倒在旧靠椅外面。 <br />   2、 青蛙低下<b>脑袋</b>，沉入水中。 <br />   3、 拉姆齐医生张开口，<b>脑袋</b>往后一仰，放肆地大笑起来。 <br />   4、 他<b>脑袋</b>里主意很多。<br />
187,答应,dā ying,answer,to make a reply or response to,＜轻＞（１）应声回答：喊了好几声，也没有人～。（２）允许；同意：他起初不肯，后来才～了。<br>,"1、<b>答应</b>吧，办不到；不<b>答应</b>吧，又有点难为情。 <br />   2、 如果你<b>答应</b>出资本,我<b>答应</b>经管这个生意。 <br />   3、 此外,我要你<b>答应</b>我一件事。 <br />   4、 他<b>答应</b>我尽快完成这个工作。<br />"
188,整个,zhěnggè,entire,whole,（～儿）全部：～上午｜～会场｜～社会。<br>,1、最大化窗口充满了<b>整个</b>屏幕，覆盖了所有底下的内容。 <br />   2、 它们含蓄地鼓励在<b>整个</b>团队中以‘如果…… <br />   3、 原则和模式则加入了一种自下而上的方法，从而平衡<b>整个</b>过程。 <br />   4、 这些控件改变<b>整个</b>视觉显示的外观，即正常视图、页面布局和大纲视图。<br />
189,意识,yì shí,consciousness,awareness,（１）人的头脑对于客观物质世界的反映，是感觉、思维等各种心理过程的总和，其中的思维是人类特有的反映现实的高级形式。存在决定意识，意识又反作用于存在。（２）觉察（常与‘到’字连用）：天还冷，看见树枝发绿才～到已经是春天了。<br>,1、近来，许多设计者还<b>意识</b>到了一个最重要的观点，那就是手持设备往往并不是独立的设备。 <br />   2、 设计者开始<b>意识</b>到除了习惯以外，没有理由将工具栏控件限制为图标按钮。 <br />   3、 在现实世界中，限制总是可以调整的，体贴的软件需要<b>意识</b>并且包容这类事实。 <br />   4、 如果用户很快<b>意识</b>到自己忘了一个重要的改动，他在打印机刚打出第1页时单击取消按钮。<br />
190,文化,wénhuà,culture,"The body of customary beliefs, social forms, and material traits constituting a distinct complex of tradition of a racial or social group.",（１）人类在社会历史发展过程中所创造的物质财富和精神财富的总和，特指精神财富，如文学、艺术、教育、科学等。（２）考古学用语，指同一个历史时期的不依分布地点为转移的遗迹、遗物的综合体。同样的工具、用具，同样的制造技术等，是同一种文化的特征，如仰韶文化、龙山文化。（３）指运用文字的能力及一般知识：学习～｜～水平。<br>,1、如果用户没有和设计者相似的<b>文化</b>背景，就容易导致隐喻的失败。 <br />   2、 具有这种<b>文化</b>的人又如何会在信息经济中取得成功，而缺乏计算机<b>文化</b>的人则不可避免地落入社会经济学的裂缝中。 <br />   3、 最后要考虑一点，尤其在商业产品中是用户所在组织之间的<b>文化</b>差异。 <br />   4、 在人类学中，人种学研究人员在其所研究和记录的<b>文化</b>中花数年的时间进行浸入式的生活。<br />
191,尽管,jǐnguǎn,although,in spite of the fact that,（１）副词，表示不必考虑别的，放心去做：有意见～提，不要客气｜你有什么困难～说，我们一定帮助你解决。（２）＜方＞副词，老是；总是：有病早些治，～耽搁着也不好。（３）连词，表示姑且承认某种事实，下文往往有‘但是、然而’等表示转折的连词跟它呼应，反接上文：～他不接受我的意见，我有意见还要向他提｜～以后变化难测，然而大体的计算还是可能的。<br>,1、这种差异存在着充分的理由，<b>尽管</b>我们偶尔会感到迷惑。 <br />   2、 <b>尽管</b>书中的例子有些古老，但是其中原则在今天仍然非常适用。 <br />   3、 <b>尽管</b>它们偶尔会有用，但多数用户不会经常使用它们。 <br />   4、 这些原始数据<b>尽管</b>很精确，但没有说清楚这些情况。<br />
192,幸福,xìngfú,happiness,emotion of being happy,（１）使人心情舒畅的境遇和生活：我们今天的～是先烈们流血流汗得来的。（２）（生活、境遇）称心如意：生产越来越提高，人民越来越～。<br>,1、大家都盼望你生活<b>幸福</b>，无忧无虑。 <br />   2、 包罗丰富的<b>幸福</b>是有可能的。 <br />   3、 他惟一的目的就是使她<b>幸福</b>。 <br />   4、 在 [生活在] 幻想的<b>幸福</b>[希望]中<br />
193,爷爷,yé ye,grandfather,grandfather (from either side),＜轻＞＜口＞（１）祖父。（２）称呼跟祖父辈分相同或年纪相仿的男人。<br>,1、我真想去火车站接<b>爷爷</b>。 <br />   2、 我爱你， <b>爷爷</b>。 <br />   3、 “好难挨的冬天啊，”<b>爷爷</b>对乌龟说。 <br />   4、 <b>爷爷</b>出去散步时总要带根手杖。<br />
194,哥哥,gē ge,brother,male sibling,〈轻〉（１）同父母（或只同父、只同母）而年纪比自己大的男子。（２）同族同辈而年纪比自己大的男子：叔伯～｜远房～。<br>,1、他将学他<b>哥哥</b>的榜样，也去参军。 <br />   2、 亨利是我的<b>哥哥</b>；他比我大两岁。 <br />   3、 我<b>哥哥</b>刚接到工厂的工程师任命书。 <br />   4、 勇敢是他的<b>哥哥</b>最欣赏的美德。<br />
195,街上,jiē shànɡ,downtown,streets with shops on both sides of the street,1. 在城市的大道上。如：在街上碰见他。<br>,"1、昨天,很多人在<b>街上</b>游行示威。 <br />   2、 <b>街上</b>相隔不远就有路灯柱子。 <br />   3、 节日那天<b>街上</b>很热闹。 <br />   4、 除了集市的日子，<b>街上</b>没有行人。<br />"
196,肚子,dǔ zi,stomach,digestive organ,１（ｄǔ?ｚｉ）用做食物的动物的胃：猪～。<br>,"1、亨利<b>肚子</b>疼请求离开一下。 <br />   2、 嗟来之食, 吃下去<b>肚子</b>要痛的。 <br />   3、 他用膝盖挤压那人的<b>肚子</b>。 <br />   4、 但是我并不是说他<b>肚子</b>里从来不想那事呀。<br />"
197,必须,bìxū,have to,obligation,（１）表示事理上和情理上的必要；一定要：学习～刻苦钻研。（２）加强命令语气：明天你～来。‖注意：‘必须’的否定是‘无须’、‘不须’或‘不必’。<br>,1、重大改变<b>必须</b>是非常好的改变。 <br />   2、 成功的产品<b>必须</b>首先满足用户目标 <br />   3、 拖动光标<b>必须</b>在视觉上表示源对象。 <br />   4、 目标<b>必须</b>来自定性数据<br />
198,可怜,kělián,poor,to be pitied,（１）值得怜悯：他刚三岁就死了父母，真是个～的孩子！（２）怜悯：对这种一贯做坏事的人，绝不能～他。（３）（数量少或质量坏到）不值得一提：少得～｜知识贫乏得～。<br>,1、〔谚语〕希望不实现，心碎亦<b>可怜</b>。 <br />   2、 他想跟这个<b>可怜</b>的女人和解。 <br />   3、 他要在深更半夜去勒索<b>可怜</b>的老百姓。 <br />   4、 我要去救我爹和<b>可怜</b>的赫里。<br />
199,沉默,chénmò,silence,The lack of any sound,（１）不爱说笑：～寡言。（２）不说话：他～了一会儿又继续说下去。<br>,1、软件也应该对其自己的问题保持<b>沉默</b>，而关注我们的问题。 <br />   2、 接着是长时间的难堪的<b>沉默</b>。 <br />   3、 如果程序不能理解输入的数据，它可以保持<b>沉默</b>。 用户就会立刻知道问题，在不尴尬或伤害自尊的情况下改正输入。 <br />   4、 <b>沉默</b>可以确保用户知道，而又没有实际告诉他失败。<br />
200,充满,chōngmǎn,full,containing the maximum possible amount,（１）填满；布满：欢呼声～了会场（２）充分具有：雄壮的歌声里～着热情和力量。<br>,1、最大化窗口<b>充满</b>了整个屏幕，覆盖了所有底下的内容。 <br />   2、 你见过多少应用程序的开始是一个<b>充满</b>大量问题的对话框？ <br />   3、 我们的语言<b>充满</b>成语和习惯用语，如果没有学过，你不会明白它是什么意思。 <br />   4、 而绪论所探讨的交互数字产品比较特殊，其设计<b>充满</b>了复杂的行为。<br />
201,姐姐,jiě jie,older sister,a sibling&#39;s older sister,＜轻＞（１）同父母（或只同父、只同母）而年纪比自己大的女子。（２）同族同辈而年纪比自己大的女子（一般不包括可以称做嫂的人）：叔伯～。<br>,1、他解不出那个方程式，他<b>姐姐</b>帮他算了出来。 <br />   2、 你多长时间收到你<b>姐姐</b>一封信? <br />   3、 卡罗尔很漂亮，她<b>姐姐</b>也很漂亮。 <br />   4、 他试图向我<b>姐姐</b>求婚。<br />
202,至于,zhìyú,as for,regarding; about,（１）表示达到某种程度：他说了要来的，也许晚一些，不～不来吧？（２）表示另提一事：这两年来，社里新盖的瓦房就有几百间，～社员添置的衣物等日用品，就不可胜数了。<br>,1、<b>至于</b>费用，那将是徽不足道的。 <br />   2、 <b>至于</b>书法，我们不鼓励他们过早地乱写。 <br />   3、 <b>至于</b>他的品德，也是值得称赞的。 <br />   4、 她不<b>至于</b>不来上学。<br />
203,进行,jìnxíng,carry out,To fulfill,（１）从事（某种活动）：～讨论｜～工作｜～教育和批评｜将革命～到底｜会议正在～。注意：‘进行’总是用在持续性的和正式、严肃的行为，短暂性的和日常生活中的行为不用‘进行’，例如不说‘进行午睡’，‘进行叫喊’。（２）前进；～曲。<br>,1、信息亭应该针对首次使用<b>进行</b>优化。 <br />   2、 按统一文件模型<b>进行</b>设计 <br />   3、 她会<b>进行</b>这种操作吗？” <br />   4、 <b>进行</b>进展式可用性测试<br />
204,新月,xīnyuè,new moon,phase of moon when in conjunction with sun,（１）农历月初形状如钩的月亮：一弯～。（２）朔日的月相（人看不见）。也叫朔月。<br>,1、上弦月是<b>新月</b>和满月的中间状态。 <br />   2、 成矿带呈西端张开的<b>新月</b>状。 <br />   3、 <b>新月</b>；满月 <br />   4、 国王查理六世在一三九九年犯了六次疯病，不是在<b>新月</b>，就是在满月。<br />
205,文学,wénxué,literature,body of all written works,以语言文字为工具形象化地反映社会生活斗争的艺术，包括戏剧、诗歌、小说、散文等。<br>,1、他精通古希腊和古罗马<b>文学</b>. <br />   2、 他正讲俄罗斯<b>文学</b>. <br />   3、 欣赏<b>文学</b> <br />   4、 他主修俄罗斯<b>文学</b>。<br />
206,历史,lìshǐ,history,computing: record of previous user events,（１）自然界和人类社会的发展过程，也指某种事物的发展过程和个人的经历。（２）过去的事实：这件事早已成为～。（３）过去事实的记载。（４）指历史学科。<br>,1、但是好的设计师会抛开传统，用崭新的观点来看待软件设计。 他们以<b>历史</b>为鉴，而不是以<b>历史</b>为教条。 <br />   2、 图1-1描述了软件开发流程的<b>历史</b>变迁，从中可以看出各个<b>历史</b>阶段，设计在产品开发流程中所处的位置（如果占有一席之地的话）。 <br />   3、 图1-1 软件开发流程的<b>历史</b>变迁 <br />   4、 有很多工具在源代码中支持<b>历史</b>版本的概念，然而最近才从编程序领域中走出来。<br />
207,曾经,céngjīng,ever,at any time,副词，表示从前有过某种行为或情况：他～多次立过战功。<br>,"1、这就像有很多好软件<b>曾经</b>采用过软盘，就崇拜软盘一样。 <br />   2、 微软和其他许多公司<b>曾经</b>长期对鼠标右键视而不见，只有少数勇敢的程序员将一些行为与右键关联起来。 这些行为被看做是额外、备选或高级的功能。 <br />   3、 如果<b>曾经</b>试过教你的母亲如何使用计算机，你会知道，困难不只来自问题本身。 <br />   4、 目前，大多数数字产品的开发仍然滞留在演变的第一、第二和第三阶段。此时，设计要么没有实际的作用，要么仅仅作为劣质交互的补丁--我们的一位客户<b>曾经</b>称之为""猪涂口红""*。<br />"
208,作者,zuòzhě,author,originator or creator of a work,文章的写作者；艺术作品的创作者。<br>,1、怎样写句子取决于主人公做了什么，以及<b>作者</b>想要创造什么样的效果。 <br />   2、 每张卡片以<b>作者</b>姓名、科目或者标题开头，这些卡片按字母顺序分别归于相应的索引。 <br />   3、 情境调查形成了定性研究的理论基础，但作为一种具体的方法，至少在<b>作者</b>看来，它存在一些限制，而且效率不高。 <br />   4、 糟糕的<b>作者</b>是能够看到的<b>作者</b>，一个糟糕的交互设计师在他的产品中展示其笨拙的存在。<br />
209,家庭,jiātíng,family,"immediate family, e.g. parents and their children",以婚姻和血统关系为基础的社会单位，包括父母、子女和其他共同生活的亲属在内。<br>,1、与<b>家庭</b>保持联系 <br />   2、 少数<b>家庭</b>可以抚养孩子。 <br />   3、 很多人都发现复杂的遥控器让人退缩，<b>家庭</b>娱乐系统的遥控器上的大多数功能极少被用到。 <br />   4、 单亲<b>家庭</b><br />